conflict_id,vinculo_anterior,evidencia_anterior,evidencia_atual,vinculo_confirmado,vinculo_removido,capacidade_afetada,tipo_impacto,confianca
3,P0_IDENTITY,Inferência de pasta,Hash idêntico para 3 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
12,P0_IDENTITY,Inferência de pasta,Hash idêntico para 3 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
19,P0_IDENTITY,Inferência de pasta,Hash idêntico para 4 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
33,P0_IDENTITY,Inferência de pasta,Hash idêntico para 2 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
45,P0_IDENTITY,Inferência de pasta,Hash idêntico para 2 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
47,P0_IDENTITY,Inferência de pasta,Hash idêntico para 4 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
72,P0_IDENTITY,Inferência de pasta,Hash idêntico para 2 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
91,P0_IDENTITY,Inferência de pasta,Hash idêntico para 2 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
106,P0_IDENTITY,Inferência de pasta,Hash idêntico para 2 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
117,P0_IDENTITY,Inferência de pasta,Hash idêntico para 2 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
550,P0_IDENTITY,Inferência de pasta,Hash idêntico para 2 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
593,P0_IDENTITY,Inferência de pasta,Hash idêntico para 645 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
607,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
611,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
667,P0_IDENTITY,Inferência de pasta,Hash idêntico para 645 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
668,P0_IDENTITY,Inferência de pasta,Hash idêntico para 8 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
677,P0_IDENTITY,Inferência de pasta,Hash idêntico para 657 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
687,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
691,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
701,P0_IDENTITY,Inferência de pasta,Hash idêntico para 2 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
708,P0_IDENTITY,Inferência de pasta,Hash idêntico para 4 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
765,P0_IDENTITY,Inferência de pasta,Hash idêntico para 3 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
768,P0_IDENTITY,Inferência de pasta,Hash idêntico para 5 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
769,P0_IDENTITY,Inferência de pasta,Hash idêntico para 5 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
890,P0_IDENTITY,Inferência de pasta,Hash idêntico para 3 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
893,P0_IDENTITY,Inferência de pasta,Hash idêntico para 3 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
897,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
1130,P0_IDENTITY,Inferência de pasta,Hash idêntico para 6 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
1132,P0_IDENTITY,Inferência de pasta,Hash idêntico para 6 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
1164,P0_IDENTITY,Inferência de pasta,Hash idêntico para 2 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
1310,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
1314,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
1333,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
1406,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
1410,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
1429,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
1470,P0_IDENTITY,Inferência de pasta,Hash idêntico para 4 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
1474,P0_IDENTITY,Inferência de pasta,Hash idêntico para 2 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
1505,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
1559,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
1563,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
1582,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
2386,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
2390,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
2445,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
2474,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
2478,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
2503,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
2757,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
2761,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
2779,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
3100,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
3104,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
3133,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
3287,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
3291,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
3309,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
3429,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
3433,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
3506,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
3512,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
3654,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
3658,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
3691,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
3693,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
3694,P0_IDENTITY,Inferência de pasta,Hash idêntico para 7 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
3765,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
3769,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
3787,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
3852,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
3856,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
3874,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
3983,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
4016,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
4020,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
4038,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
4129,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
4133,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
4153,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
4336,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
4340,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
4358,P0_IDENTITY,Inferência de pasta,Hash idêntico para 1 arquivos estruturais,NAO,SIM,NENHUMA,NON_BLOCKING_STRUCTURAL,ALTA
