id,caminho,tipo,prioridade
15,governance/release/repository-root/CODEOWNERS,C,P1
16,governance/release/repository-root/CONTRIBUTING.md,A,P3
17,governance/release/repository-root/LICENSE.md,A,P3
18,governance/release/repository-root/Makefile,C,P1
20,governance/release/repository-root/SECURITY.md,A,P0
21,governance/release/repository-root/SUPPORT.md,A,P3
22,governance/release/repository-root/Taskfile.yml,C,P1
36,apps/android/.tool-versions,C,P1
39,apps/android/CODEOWNERS,C,P1
355,apps/ios/.tool-versions,C,P1
367,apps/ios/CODEOWNERS,C,P1
603,apps/partner-developer-portal/.tool-versions,C,P3
605,apps/partner-developer-portal/CODEOWNERS,C,P1
681,apps/web-banking/.tool-versions,C,P1
684,apps/web-banking/CODEOWNERS,C,P1
1148,apps/windows-operations/.tool-versions,C,P1
1154,apps/windows-operations/CODEOWNERS,C,P1
1306,bff/mobile-bff/.tool-versions,C,P1
1308,bff/mobile-bff/CODEOWNERS,C,P1
1365,bff/open-finance-api/.tool-versions,C,P1
1367,bff/open-finance-api/CODEOWNERS,C,P1
1402,bff/operations-bff/.tool-versions,C,P1
1404,bff/operations-bff/CODEOWNERS,C,P1
1465,bff/partner-api-facade/.tool-versions,C,P1
1468,bff/partner-api-facade/CODEOWNERS,C,P1
1555,bff/web-bff/.tool-versions,C,P1
1557,bff/web-bff/CODEOWNERS,C,P1
1605,governance/release/repository-root/compose.yaml,C,P1
1617,contracts/iso20022/adapters/.tool-versions,C,P3
1619,contracts/iso20022/adapters/CODEOWNERS,C,P1
1654,contracts/iso20022/mappings/.tool-versions,C,P3
1656,contracts/iso20022/mappings/CODEOWNERS,C,P1
1691,contracts/iso20022/messages/.tool-versions,C,P3
1693,contracts/iso20022/messages/CODEOWNERS,C,P1
1728,contracts/iso20022/schemas/.tool-versions,C,P3
1730,contracts/iso20022/schemas/CODEOWNERS,C,P1
1766,contracts/iso20022/tests/.tool-versions,C,P3
1768,contracts/iso20022/tests/CODEOWNERS,C,P1
1803,contracts/iso20022/validation/.tool-versions,C,P3
1805,contracts/iso20022/validation/CODEOWNERS,C,P1
1840,contracts/asyncapi/.tool-versions,C,P3
1842,contracts/asyncapi/CODEOWNERS,C,P1
1884,contracts/error-catalog/.tool-versions,C,P3
1886,contracts/error-catalog/CODEOWNERS,C,P1
1926,contracts/events/.tool-versions,C,P3
1928,contracts/events/CODEOWNERS,C,P1
1966,contracts/json-schema/.tool-versions,C,P3
1968,contracts/json-schema/CODEOWNERS,C,P1
2010,contracts/openapi/.tool-versions,C,P3
2012,contracts/openapi/CODEOWNERS,C,P1
2060,contracts/sdk/.tool-versions,C,P3
2097,design-system/android/.tool-versions,C,P1
2099,design-system/android/CODEOWNERS,C,P1
2134,design-system/documentation/.tool-versions,C,P3
2136,design-system/documentation/CODEOWNERS,C,P1
2172,design-system/ios/.tool-versions,C,P1
2174,design-system/ios/CODEOWNERS,C,P1
2209,design-system/tokens/.tool-versions,C,P3
2211,design-system/tokens/CODEOWNERS,C,P1
2260,design-system/web/.tool-versions,C,P3
2262,design-system/web/CODEOWNERS,C,P1
2343,design-system/windows/.tool-versions,C,P1
2345,design-system/windows/CODEOWNERS,C,P1
2382,domains/accounting/.tool-versions,C,P0
2384,domains/accounting/CODEOWNERS,C,P0
2405,domains/cosif/.tool-versions,C,P3
2407,domains/cosif/CODEOWNERS,C,P1
2470,domains/accounts/.tool-versions,C,P0
2472,domains/accounts/CODEOWNERS,C,P0
2542,domains/aml/.tool-versions,C,P1
2544,domains/aml/CODEOWNERS,C,P1
2603,governance/audit/.tool-versions,C,P3
2605,governance/audit/CODEOWNERS,C,P1
2642,domains/balance/.tool-versions,C,P3
2644,domains/balance/CODEOWNERS,C,P1
2679,domains/card-authorization/.tool-versions,C,P0
2681,domains/card-authorization/CODEOWNERS,C,P0
2716,domains/card-clearing/.tool-versions,C,P3
2718,domains/card-clearing/CODEOWNERS,C,P1
2753,domains/cards/.tool-versions,C,P3
2755,domains/cards/CODEOWNERS,C,P1
2815,domains/case-management/.tool-versions,C,P3
2817,domains/case-management/CODEOWNERS,C,P1
2852,domains/consents/.tool-versions,C,P3
2854,domains/consents/CODEOWNERS,C,P1
2889,domains/credit-decision/.tool-versions,C,P3
2891,domains/credit-decision/CODEOWNERS,C,P1
2926,domains/credit-origination/.tool-versions,C,P3
2928,domains/credit-origination/CODEOWNERS,C,P1
2963,domains/credit/.tool-versions,C,P3
2965,domains/credit/CODEOWNERS,C,P1
3022,domains/custody-positions/.tool-versions,C,P3
3024,domains/custody-positions/CODEOWNERS,C,P1
3059,domains/customer-support/.tool-versions,C,P0
3061,domains/customer-support/CODEOWNERS,C,P0
3096,domains/customers/.tool-versions,C,P0
3098,domains/customers/CODEOWNERS,C,P0
3172,domains/device-trust/.tool-versions,C,P3
3174,domains/device-trust/CODEOWNERS,C,P1
3209,domains/disputes/.tool-versions,C,P3
3211,domains/disputes/CODEOWNERS,C,P1
3246,domains/documents/.tool-versions,C,P3
3248,domains/documents/CODEOWNERS,C,P1
3283,domains/fees/.tool-versions,C,P3
3285,domains/fees/CODEOWNERS,C,P1
3333,domains/fraud/.tool-versions,C,P1
3335,domains/fraud/CODEOWNERS,C,P1
3388,domains/fx/.tool-versions,C,P3
3390,domains/fx/CODEOWNERS,C,P1
3425,domains/identity/.tool-versions,C,P0
3427,domains/identity/CODEOWNERS,C,P0
3461,domains/kyc/.tool-versions,C,P1
3463,domains/kyc/CODEOWNERS,C,P1
3548,domains/investment-orders/.tool-versions,C,P3
3550,domains/investment-orders/CODEOWNERS,C,P1
3613,domains/invoices/.tool-versions,C,P3
3615,domains/invoices/CODEOWNERS,C,P1
3650,domains/ledger/.tool-versions,C,P0
3652,domains/ledger/CODEOWNERS,C,P0
3761,domains/limits/.tool-versions,C,P3
3763,domains/limits/CODEOWNERS,C,P1
3811,domains/loan-servicing/.tool-versions,C,P3
3813,domains/loan-servicing/CODEOWNERS,C,P1
3848,domains/notifications/.tool-versions,C,P3
3850,domains/notifications/CODEOWNERS,C,P1
3903,domains/onboarding/.tool-versions,C,P3
3905,domains/onboarding/CODEOWNERS,C,P1
3940,domains/payment-orchestrator/.tool-versions,C,P0
4012,domains/pix/.tool-versions,C,P0
4014,domains/pix/CODEOWNERS,C,P0
4088,domains/product-catalog/.tool-versions,C,P3
4090,domains/product-catalog/CODEOWNERS,C,P1
4125,domains/reconciliation/.tool-versions,C,P0
4127,domains/reconciliation/CODEOWNERS,C,P0
4183,governance/regulatory-reporting/.tool-versions,C,P3
4220,domains/sanctions/.tool-versions,C,P3
4222,domains/sanctions/CODEOWNERS,C,P1
4257,domains/session/.tool-versions,C,P3
4259,domains/session/CODEOWNERS,C,P1
4295,domains/statements/.tool-versions,C,P3
4297,domains/statements/CODEOWNERS,C,P1
4332,domains/transactions/.tool-versions,C,P0
4334,domains/transactions/CODEOWNERS,C,P0
5036,governance/policies/engineering/.tool-versions,C,P3
5079,governance/architecture/.tool-versions,C,P3
5081,governance/architecture/CODEOWNERS,C,P1
5135,governance/product/.tool-versions,C,P3
5137,governance/product/CODEOWNERS,C,P1
5472,governance/regulatory/aml/.tool-versions,C,P1
5474,governance/regulatory/aml/CODEOWNERS,C,P1
5510,governance/regulatory/card-pci/.tool-versions,C,P3
5512,governance/regulatory/card-pci/CODEOWNERS,C,P1
5548,governance/regulatory/cloud-outsourcing/.tool-versions,C,P3
5586,governance/regulatory/cosif/.tool-versions,C,P3
5588,governance/regulatory/cosif/CODEOWNERS,C,P1
5624,governance/regulatory/cvm/.tool-versions,C,P3
5626,governance/regulatory/cvm/CODEOWNERS,C,P1
5662,governance/regulatory/cybersecurity/.tool-versions,C,P0
5700,governance/regulatory/lgpd/.tool-versions,C,P3
5702,governance/regulatory/lgpd/CODEOWNERS,C,P1
5740,governance/regulatory/open-finance/.tool-versions,C,P3
5778,governance/regulatory/pix/.tool-versions,C,P0
5780,governance/regulatory/pix/CODEOWNERS,C,P0
5816,governance/regulatory/reporting/.tool-versions,C,P3
5854,governance/regulatory/sisbacen/.tool-versions,C,P3
5856,governance/regulatory/sisbacen/CODEOWNERS,C,P1
5892,governance/regulatory/sisorf/.tool-versions,C,P3
5894,governance/regulatory/sisorf/CODEOWNERS,C,P1
5930,governance/regulatory/susep/.tool-versions,C,P3
5932,governance/regulatory/susep/CODEOWNERS,C,P1
5968,governance/regulatory/unicad/.tool-versions,C,P3
5970,governance/regulatory/unicad/CODEOWNERS,C,P1
6021,governance/runbooks/operations/accounting/.tool-versions,C,P0
6058,governance/runbooks/operations/aml/.tool-versions,C,P1
6060,governance/runbooks/operations/aml/CODEOWNERS,C,P1
6095,governance/business-continuity/.tool-versions,C,P3
6132,governance/runbooks/operations/cards/.tool-versions,C,P2
6134,governance/runbooks/operations/cards/CODEOWNERS,C,P2
6169,governance/runbooks/operations/change-management/.tool-versions,C,P2
6206,governance/runbooks/operations/customer-support/.tool-versions,C,P0
6243,governance/runbooks/operations/fraud/.tool-versions,C,P1
6245,governance/runbooks/operations/fraud/CODEOWNERS,C,P1
6280,governance/runbooks/operations/incident-management/.tool-versions,C,P2
6317,governance/runbooks/operations/noc/.tool-versions,C,P2
6319,governance/runbooks/operations/noc/CODEOWNERS,C,P2
6354,governance/runbooks/operations/payment/.tool-versions,C,P0
6356,governance/runbooks/operations/payment/CODEOWNERS,C,P0
6391,governance/runbooks/operations/pix/.tool-versions,C,P0
6393,governance/runbooks/operations/pix/CODEOWNERS,C,P0
6428,governance/runbooks/operations/reconciliation/.tool-versions,C,P0
6465,governance/runbooks/operations/soc/.tool-versions,C,P2
6467,governance/runbooks/operations/soc/CODEOWNERS,C,P2
6502,governance/runbooks/operations/treasury/.tool-versions,C,P2
6504,governance/runbooks/operations/treasury/CODEOWNERS,C,P2
6539,platform/backups/.tool-versions,C,P2
6541,platform/backups/CODEOWNERS,C,P2
6576,platform/cache/.tool-versions,C,P3
6578,platform/cache/CODEOWNERS,C,P1
6616,platform/ci-cd/.tool-versions,C,P3
6618,platform/ci-cd/CODEOWNERS,C,P1
6658,platform/data/analytics/.tool-versions,C,P3
6660,platform/data/analytics/CODEOWNERS,C,P1
6695,platform/data/finance-reporting/.tool-versions,C,P3
6732,platform/data/governance/.tool-versions,C,P3
6734,platform/data/governance/CODEOWNERS,C,P1
6769,platform/data/ingestion/.tool-versions,C,P3
6771,platform/data/ingestion/CODEOWNERS,C,P1
6806,platform/data/lake/.tool-versions,C,P3
6808,platform/data/lake/CODEOWNERS,C,P1
6843,platform/data/lineage/.tool-versions,C,P3
6845,platform/data/lineage/CODEOWNERS,C,P1
6880,platform/data/privacy/.tool-versions,C,P3
6882,platform/data/privacy/CODEOWNERS,C,P1
6917,platform/data/quality/.tool-versions,C,P2
6919,platform/data/quality/CODEOWNERS,C,P2
6954,platform/data/risk-models/.tool-versions,C,P3
6956,platform/data/risk-models/CODEOWNERS,C,P1
6991,platform/data/streaming/.tool-versions,C,P3
6993,platform/data/streaming/CODEOWNERS,C,P1
7028,platform/data/warehouse/.tool-versions,C,P3
7030,platform/data/warehouse/CODEOWNERS,C,P1
7065,platform/databases/.tool-versions,C,P3
7067,platform/databases/CODEOWNERS,C,P1
7113,platform/developer-portal/.tool-versions,C,P3
7150,platform/disaster-recovery/.tool-versions,C,P2
7187,platform/event-bus/.tool-versions,C,P3
7189,platform/event-bus/CODEOWNERS,C,P1
7234,platform/integrations/b3/.tool-versions,C,P3
7236,platform/integrations/b3/CODEOWNERS,C,P1
7272,platform/integrations/bacen/.tool-versions,C,P3
7274,platform/integrations/bacen/CODEOWNERS,C,P1
7310,platform/integrations/bureaus/.tool-versions,C,P3
7312,platform/integrations/bureaus/CODEOWNERS,C,P1
7348,platform/integrations/card-networks/.tool-versions,C,P3
7386,platform/integrations/card-processor/.tool-versions,C,P3
7424,platform/integrations/correspondents/.tool-versions,C,P3
7462,platform/integrations/custody/.tool-versions,C,P3
7464,platform/integrations/custody/CODEOWNERS,C,P1
7500,platform/integrations/dict/.tool-versions,C,P3
7502,platform/integrations/dict/CODEOWNERS,C,P1
7538,platform/integrations/kyc-providers/.tool-versions,C,P1
7577,platform/integrations/notifications/.tool-versions,C,P3
7615,platform/integrations/open-finance/.tool-versions,C,P3
7656,platform/integrations/spi/.tool-versions,C,P3
7658,platform/integrations/spi/CODEOWNERS,C,P1
7694,platform/integrations/susep/.tool-versions,C,P3
7696,platform/integrations/susep/CODEOWNERS,C,P1
7732,platform/integrations/swift/.tool-versions,C,P3
7734,platform/integrations/swift/CODEOWNERS,C,P1
7770,platform/kms-hsm/.tool-versions,C,P3
7772,platform/kms-hsm/CODEOWNERS,C,P1
7807,platform/kubernetes/.tool-versions,C,P2
7809,platform/kubernetes/CODEOWNERS,C,P2
7856,platform/object-storage/.tool-versions,C,P3
7893,platform/observability/.tool-versions,C,P1
7942,platform/secrets/.tool-versions,C,P3
7944,platform/secrets/CODEOWNERS,C,P1
7979,platform/security/appsec/.tool-versions,C,P0
7981,platform/security/appsec/CODEOWNERS,C,P0
8016,platform/security/cloud/.tool-versions,C,P0
8018,platform/security/cloud/CODEOWNERS,C,P0
8053,platform/security/detection/.tool-versions,C,P0
8055,platform/security/detection/CODEOWNERS,C,P0
8090,platform/security/iam/.tool-versions,C,P0
8092,platform/security/iam/CODEOWNERS,C,P0
8127,platform/security/incident-response/.tool-versions,C,P0
8164,platform/security/kms-hsm/.tool-versions,C,P0
8166,platform/security/kms-hsm/CODEOWNERS,C,P0
8201,platform/security/mobile/.tool-versions,C,P0
8203,platform/security/mobile/CODEOWNERS,C,P0
8238,platform/security/pam/.tool-versions,C,P0
8240,platform/security/pam/CODEOWNERS,C,P0
8275,platform/security/pki/.tool-versions,C,P0
8277,platform/security/pki/CODEOWNERS,C,P0
8312,platform/security/red-team/.tool-versions,C,P0
8314,platform/security/red-team/CODEOWNERS,C,P0
8349,platform/security/threat-intelligence/.tool-versions,C,P0
8386,platform/security/vulnerability-management/.tool-versions,C,P0
8423,platform/siem/.tool-versions,C,P3
8425,platform/siem/CODEOWNERS,C,P1
8460,platform/terraform/.tool-versions,C,P2
8462,platform/terraform/CODEOWNERS,C,P2
8520,platform/tools/comment-gate/.tool-versions,C,P3
8558,platform/tools/contract-linter/.tool-versions,C,P3
8596,platform/tools/developer-cli/.tool-versions,C,P3
8638,platform/tools/local-environment/.tool-versions,C,P3
8675,platform/tools/migration-validator/.tool-versions,C,P0
8715,platform/tools/release-manifest/.tool-versions,C,P3
8752,platform/tools/sbom/.tool-versions,C,P3
8789,platform/tools/schema-validator/.tool-versions,C,P3
8826,platform/tools/secret-scanner/.tool-versions,C,P3
8864,platform/tools/test-data/.tool-versions,C,P3
8901,quality/chaos/.tool-versions,C,P2
8903,quality/chaos/CODEOWNERS,C,P2
8938,quality/contract/.tool-versions,C,P2
8940,quality/contract/CODEOWNERS,C,P2
8975,quality/e2e/.tool-versions,C,P2
8977,quality/e2e/CODEOWNERS,C,P2
9012,quality/financial-invariants/.tool-versions,C,P2
9014,quality/financial-invariants/CODEOWNERS,C,P2
9066,quality/integration/.tool-versions,C,P2
9068,quality/integration/CODEOWNERS,C,P2
9114,quality/performance/.tool-versions,C,P2
9116,quality/performance/CODEOWNERS,C,P2
9152,quality/regulatory/.tool-versions,C,P2
9154,quality/regulatory/CODEOWNERS,C,P2
9189,quality/resilience/.tool-versions,C,P2
9191,quality/resilience/CODEOWNERS,C,P2
9226,quality/security/.tool-versions,C,P0
9228,quality/security/CODEOWNERS,C,P0
9264,quality/test-data/.tool-versions,C,P2
9266,quality/test-data/CODEOWNERS,C,P2
9301,quality/unit/.tool-versions,C,P2
9303,quality/unit/CODEOWNERS,C,P2
9327,governance/release/repository-root/renovate.json,C,P1
9328,governance/release/repository-root/sonar-project.properties,C,P1
